Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1736,2.0,0.1473,"python, file, csv, files, google, run, script, api, read, save","['php', 'built', 'web', 'server', 'used', 'public', 'network']"
1737,1.0,0.1363,"data, convert, model, django, table, tensorflow, keras, type, method, input","['extracting', 'data', 'json', 'sql']"
1738,3.0,0.1592,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['create', 'numpy', 'index', 'colons', 'everywhere', 'except', 'one', 'variable', 'coordinate']"
1739,6.0,0.1561,"error, date, code, sql, set, selenium, html, format, import, flask","['entity', 'like', 'semantic', 'difference', 'spark', 'pyspark']"
1740,1.0,0.1587,"data, convert, model, django, table, tensorflow, keras, type, method, input","['django', 'filter', 'value', 'given']"
1741,1.0,0.1798,"data, convert, model, django, table, tensorflow, keras, type, method, input","['numpy', 'int', 'datatype', 'type', 'numpy', 'int', 'datatype']"
1742,5.0,0.1896,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['fill', 'empty', 'dataframe', 'filled', 'dataframe', 'different', 'column', 'names']"
1743,4.0,0.1798,"list, python, dictionary, find, text, add, remove, number, elements, json","['py', 'selenium', 'find', 'elements', 'inside', 'element', 'working']"
1744,6.0,0.1351,"error, date, code, sql, set, selenium, html, format, import, flask","['myclass', 'python']"
1745,5.0,0.1473,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['recursive', 'tetration', 'faster', 'iterative', 'tetration', 'python']"
1746,6.0,0.1557,"error, date, code, sql, set, selenium, html, format, import, flask","['difference', 'set_index', 'index_col']"
1747,4.0,0.1888,"list, python, dictionary, find, text, add, remove, number, elements, json","['ensure', 'substrings', 'put', 'back', 'right', 'index', 'string', 'removed', 'initially', 'javascript']"
1748,6.0,0.183,"error, date, code, sql, set, selenium, html, format, import, flask","['update', 'aws', 'athena', 'workgroup', 'using', 'cloudformation', 'template']"
1749,2.0,0.2149,"python, file, csv, files, google, run, script, api, read, save","['run', 'python', 'script', 'imports', 'another', 'python', 'script', 'different', 'location']"
1750,4.0,0.1595,"list, python, dictionary, find, text, add, remove, number, elements, json","['disable', 'selction', 'free', 'part', 'tkinter', 'listbox', 'widget', 'item']"
1751,0.0,0.1343,"python, string, image, make, output, strings, replace, specific, print, split","['ignore', 'case', 'sensitive', 'given', 'word']"
1752,0.0,0.1581,"python, string, image, make, output, strings, replace, specific, print, split","['insert', 'new', 'key', 'value', 'specific', 'position', 'dictionary']"
1753,5.0,0.1713,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'drop', 'rows', 'errors']"
1754,4.0,0.1408,"list, python, dictionary, find, text, add, remove, number, elements, json","['evaluate', 'consonant', 'vowel', 'composition', 'word', 'string', 'python']"
1755,5.0,0.183,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'condense', 'repeated', 'df', 'rows', 'onto', 'row']"
1756,3.0,0.2265,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['change', 'axis', 'tick', 'scale', 'log', 'bar', 'graph', 'python']"
1757,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['drop', 'specific', 'filters', 'cnn', 'keras']"
1758,5.0,0.1431,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['faster', 'datetime', 'strptime']"
1759,3.0,0.1528,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['smooth', 'pandas', 'matplotlib', 'lineplot']"
1760,0.0,0.1533,"python, string, image, make, output, strings, replace, specific, print, split","['python', 'test', 'sending', 'logs', 'syslog', 'server']"
1761,1.0,0.1652,"data, convert, model, django, table, tensorflow, keras, type, method, input","['use', 'smote', 'structure', 'list', 'data', 'preserving', 'structure']"
1762,6.0,0.1473,"error, date, code, sql, set, selenium, html, format, import, flask","['speeding', 'pandas', 'sql', 'writing', 'several', 'table', 'simultaneously']"
1763,0.0,0.1528,"python, string, image, make, output, strings, replace, specific, print, split","['name', 'internal', 'function', 'executes', 'string']"
1764,4.0,0.1603,"list, python, dictionary, find, text, add, remove, number, elements, json","['add', 'primary', 'key', 'row', 'number', 'sql', 'server']"
1765,3.0,0.1682,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['plotting', 'time', 'series', 'dataframe', 'python']"
1766,6.0,0.1652,"error, date, code, sql, set, selenium, html, format, import, flask","['still', 'necessary', 'install', 'cuda', 'using', 'conda', 'tensorflow', 'gpu', 'package']"
1767,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['best', 'way', 'map', 'pandas', 'column', 'using', 'dictionary']"
1768,1.0,0.1528,"data, convert, model, django, table, tensorflow, keras, type, method, input","['load', 'csv', 'mysql', 'table']"
1769,6.0,0.1515,"error, date, code, sql, set, selenium, html, format, import, flask","['failed', 'initialize', 'cudnn']"
1770,5.0,0.1682,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['populate', 'pandas', 'dataframe', 'csv', 'data']"
1771,3.0,0.1528,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['roberta', 'detokenization', 'without', 'losing', 'labels']"
1772,0.0,0.1603,"python, string, image, make, output, strings, replace, specific, print, split","['using', 'beautiful', 'soup', 'dictionary', 'replacing', 'characters', 'pandas', 'dataframe']"
1773,2.0,0.15,"python, file, csv, files, google, run, script, api, read, save","['read', 'file', 'using', 'pyspark', 'convert', 'dataframe']"
1774,5.0,0.1703,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['dividing', 'one', 'dataframe', 'column', 'another']"
1775,0.0,0.1416,"python, string, image, make, output, strings, replace, specific, print, split","['get', 'first', 'character', 'a_loopfilename']"
1776,0.0,0.1561,"python, string, image, make, output, strings, replace, specific, print, split","['debug', 'script', 'ipython', 'magic', 'debug']"
1777,2.0,0.1404,"python, file, csv, files, google, run, script, api, read, save","['correct', 'syntax', 'use', 'tryremove', 'byref']"
1778,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['concat', 'dataframe', 'without', 'doubling', 'index']"
1779,7.0,0.2009,"function, multiple, array, numpy, create, object, class, return, query, attribute","['configure', 'credential', 'rotation', 'aws', 'secret', 'manager']"
1780,7.0,0.148,"function, multiple, array, numpy, create, object, class, return, query, attribute","['project', 'object', 'existence', 'boolean', 'mongodb']"
1781,5.0,0.1633,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['plot', 'multiple', 'column', 'counts', 'single', 'column', 'axis', 'python']"
1782,4.0,0.1623,"list, python, dictionary, find, text, add, remove, number, elements, json","['pyspark', 'read', 'json', 'dict', 'struct', 'dataframe', 'rdd']"
1783,4.0,0.1568,"list, python, dictionary, find, text, add, remove, number, elements, json","['dropping', 'string', 'series', 'based', 'character', 'length', 'list', 'comprehension', 'python']"
1784,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'groupby', 'custom', 'groups']"
1785,3.0,0.1537,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['using', 'drawstyle', 'steps', 'mid', 'together', 'log', 'scale', 'causes', 'step', 'points', 'non', 'centered']"
1786,2.0,0.2026,"python, file, csv, files, google, run, script, api, read, save","['gdown', 'bad', 'handshake', 'error', 'ssl', 'error', 'trying', 'download', 'google', 'drive', 'command', 'line']"
1787,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['google', 'analytics', 'api', 'retrieving', 'next', 'batch', 'rows']"
1788,5.0,0.159,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['dropping', 'rows', 'values', 'outside', 'boundaries']"
1789,1.0,0.1445,"data, convert, model, django, table, tensorflow, keras, type, method, input","['drop', 'datetime', 'time', 'convert']"
1790,6.0,0.1408,"error, date, code, sql, set, selenium, html, format, import, flask","['cuda', 'cores', 'streaming', 'multiprocessors', 'count', 'inference', 'speed']"
1791,3.0,0.1447,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['put', 'multiple', 'layout', 'themes', 'slide_layouts', 'python', 'pptx']"
1792,6.0,0.1389,"error, date, code, sql, set, selenium, html, format, import, flask","['restcontroller', 'autoserialize', 'pojo']"
1793,5.0,0.194,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['calculate', 'difference', 'successive', 'date', 'column', 'groupby', 'another', 'column', 'pandas']"
1794,5.0,0.1595,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['swap', 'elements', 'rows', 'nx', 'numpy', 'array', 'condition', 'satisfied']"
1795,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['testing', 'usb', 'serial', 'usb', 'using', 'pyserial', 'output']"
1796,0.0,0.15,"python, string, image, make, output, strings, replace, specific, print, split","['combine', 'years', 'group', 'sqlite', 'query']"
1797,7.0,0.1681,"function, multiple, array, numpy, create, object, class, return, query, attribute","['way', 'scan', 'several', 'arrays', 'time', 'also', 'access', 'previous', 'element', 'one', 'array']"
1798,7.0,0.1528,"function, multiple, array, numpy, create, object, class, return, query, attribute","['check', 'elements', 'array', 'within', 'bounds']"
1799,3.0,0.1843,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['resize', 'graph', 'plotted', 'js', 'graph']"
1800,6.0,0.1528,"error, date, code, sql, set, selenium, html, format, import, flask","['getting', 'values', 'relation', 'several', 'tables', 'away', 'sql']"
1801,1.0,0.169,"data, convert, model, django, table, tensorflow, keras, type, method, input","['ploty', 'graphs', 'cropped', 'jupyter', 'notebook', 'output', 'way', 'increase', 'size', 'output', 'frame']"
1802,0.0,0.1518,"python, string, image, make, output, strings, replace, specific, print, split","['python', 'azure', 'databrick', 'dataframe', 'object', 'support', 'item', 'assignment']"
1803,4.0,0.1898,"list, python, dictionary, find, text, add, remove, number, elements, json","['list', 'elements', 'consider', 'nearest', 'neighbors']"
1804,7.0,0.1652,"function, multiple, array, numpy, create, object, class, return, query, attribute","['pandas', 'series', 'contains', 'attributeerror', 'series', 'object', 'attribute', 'contains']"
1805,2.0,0.172,"python, file, csv, files, google, run, script, api, read, save","['snowflake', 'etl', 'job', 'using', 'pyspark', 'works', 'local', 'dataproc']"
1806,5.0,0.1473,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'alternative', 'way', 'access', 'element', 'pandas', 'dataframe']"
1807,5.0,0.1557,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'dataframe', 'attributeerror']"
1808,0.0,0.1528,"python, string, image, make, output, strings, replace, specific, print, split","['make', 'dataframea', 'none', 'id', 'exist']"
1809,2.0,0.1447,"python, file, csv, files, google, run, script, api, read, save","['sql', 'user', 'defined', 'column', 'cannot', 'converted', 'int', 'ordering']"
1810,2.0,0.1713,"python, file, csv, files, google, run, script, api, read, save","['download', 'specific', 'folder', 'chromedriver']"
1811,3.0,0.1389,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['autorun', 'methods', 'class']"
1812,4.0,0.15,"list, python, dictionary, find, text, add, remove, number, elements, json","['parse', 'list', 'lists', 'order', 'tabulate']"
1813,2.0,0.1652,"python, file, csv, files, google, run, script, api, read, save","['adding', 'timestamp', 'amazon', 'bucket', 'folder', 'names']"
1814,3.0,0.1452,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['numpy', 'expand', 'repeat']"
1815,4.0,0.1561,"list, python, dictionary, find, text, add, remove, number, elements, json","['use', 'place', 'operators', 'python', 'walrus', 'operator']"
1816,6.0,0.152,"error, date, code, sql, set, selenium, html, format, import, flask","['change', 'version', 'java', 'use', 'jupyter', 'notebook']"
1817,0.0,0.1557,"python, string, image, make, output, strings, replace, specific, print, split","['regex', 'get', 'characters', 'numbers']"
1818,1.0,0.1811,"data, convert, model, django, table, tensorflow, keras, type, method, input","['combine', 'two', 'lstm', 'layers', 'different', 'input', 'sizes', 'keras']"
1819,5.0,0.1447,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['problem', 'appending', 'columns', 'rows', 'using', 'numpy', 'append', 'hstack']"
1820,6.0,0.1584,"error, date, code, sql, set, selenium, html, format, import, flask","['possible', 'set', 'metaclass', 'globally', 'applies', 'classes', 'created', 'default']"
1821,3.0,0.1989,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['plot', 'time', 'series', 'study', 'frequency', 'items']"
1822,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['dbscan', 'running', 'memory']"
1823,5.0,0.1612,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['compare', 'two', 'str', 'values', 'dataframe', 'python', 'pandas']"
1824,0.0,0.1318,"python, string, image, make, output, strings, replace, specific, print, split","['sort', 'array', 'objects', 'since', 'coordinates', 'js']"
1825,5.0,0.2188,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['drop', 'rows', 'pandas', 'dataframe', 'meeting', 'conditions']"
1826,5.0,0.1461,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['getting', 'means', 'sum', 'columns', 'dataframe', 'basis', 'randomly', 'selected', 'bins']"
1827,2.0,0.1882,"python, file, csv, files, google, run, script, api, read, save","['failed', 'execute', 'script', 'file', 'bat', 'running', 'python', 'script']"
1828,2.0,0.1553,"python, file, csv, files, google, run, script, api, read, save","['get', 'rid', 'nan', 'values', 'csv', 'file', 'python']"
1829,6.0,0.1568,"error, date, code, sql, set, selenium, html, format, import, flask","['handle', 'refresh', 'token', 'requests', 'reactjs', 'node', 'server', 'nginx', 'proxy']"
1830,4.0,0.1592,"list, python, dictionary, find, text, add, remove, number, elements, json","['loosing', 'data', 'device', 'connected', 'serial', 'port']"
1831,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['pytorch', 'copying', 'weights', 'worked', 'colon']"
1832,7.0,0.1545,"function, multiple, array, numpy, create, object, class, return, query, attribute","['multiple', 'similar', 'values', 'dictionary', 'array', 'changes', 'one', 'values', 'modified']"
1833,2.0,0.1949,"python, file, csv, files, google, run, script, api, read, save","['alternative', 'way', 'change', 'string', 'literal', 'raw', 'string', 'literal', 'reading', 'file', 'path']"
1834,4.0,0.1493,"list, python, dictionary, find, text, add, remove, number, elements, json","['counting', 'intermittent', 'time', 'series', 'events', 'python']"
1835,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['trim', 'values', 'middle', 'string', 'mysql']"
1836,5.0,0.1487,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['clarification', 'replace', 'dtypes', 'pandas']"
1837,3.0,0.141,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['search', 'structure', 'iteratively']"
1838,5.0,0.2149,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['create', 'aggregate', 'column', 'based', 'columns', 'pandas', 'dataframe']"
1839,2.0,0.1384,"python, file, csv, files, google, run, script, api, read, save","['python', 'multiple', 'instances', 'loop']"
1840,0.0,0.1528,"python, string, image, make, output, strings, replace, specific, print, split","['random', 'numbers', 'properly', 'scattered']"
1841,3.0,0.1623,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['pandas', 'fill', 'color', 'column', 'header', 'entire', 'dataframe']"
1842,1.0,0.183,"data, convert, model, django, table, tensorflow, keras, type, method, input","['django', 'models', 'form', 'saving', 'data', 'database']"
1843,2.0,0.1632,"python, file, csv, files, google, run, script, api, read, save","['spreadsheet', 'found', 'error', 'trying', 'access', 'google', 'sheets']"
1844,4.0,0.183,"list, python, dictionary, find, text, add, remove, number, elements, json","['scrape', 'data', 'page', 'go', 'next', 'page', 'javascript', 'used', 'website']"
1845,2.0,0.1528,"python, file, csv, files, google, run, script, api, read, save","['pandas', 'parse', 'xlxs', 'csv']"
1846,7.0,0.1713,"function, multiple, array, numpy, create, object, class, return, query, attribute","['python', 'object', 'attribute', 'attribute']"
1847,1.0,0.1652,"data, convert, model, django, table, tensorflow, keras, type, method, input","['implement', 'multi', 'input', 'multi', 'model', 'keras']"
1848,2.0,0.1379,"python, file, csv, files, google, run, script, api, read, save","['list', 'concatenated', 'str', 'using', 'operator', 'python']"
1849,0.0,0.1601,"python, string, image, make, output, strings, replace, specific, print, split","['spacy', 'entity', 'linking', 'using', 'descriptions', 'wikipedia']"
1850,2.0,0.1898,"python, file, csv, files, google, run, script, api, read, save","['file', 'large', 'read', 'colab']"
1851,5.0,0.185,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['create', 'flag', 'column', 'based', 'condition', 'pandas']"
1852,2.0,0.185,"python, file, csv, files, google, run, script, api, read, save","['cloud', 'function', 'attribute', 'error', 'bytes', 'object', 'attribute', 'get', 'reading', 'json', 'file', 'cloud', 'storage']"
1853,6.0,0.1338,"error, date, code, sql, set, selenium, html, format, import, flask","['generalized', 'data', 'quality', 'checks', 'datasets']"
1854,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['best', 'way', 'create', 'superuser', 'flask']"
1855,5.0,0.1682,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'valueerror', 'cannot', 'reindex', 'duplicate', 'axis']"
1856,2.0,0.1363,"python, file, csv, files, google, run, script, api, read, save","['pipenv', 'complain', 'change', 'hash']"
1857,7.0,0.1652,"function, multiple, array, numpy, create, object, class, return, query, attribute","['attributeerror', 'type', 'object', 'modelbase', 'attribute', 'hit_ratio_table']"
1858,3.0,0.1811,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['draw', 'horizontal', 'line', 'facetplot', 'seaborn', 'relplot']"
1859,6.0,0.148,"error, date, code, sql, set, selenium, html, format, import, flask","['reconstructing', 'audio', 'melspectrogram', 'clipping', 'librosa']"
1860,2.0,0.1718,"python, file, csv, files, google, run, script, api, read, save","['add', 'version', 'info', 'excel', 'file', 'properties', 'vba', 'read', 'powershell']"
1861,4.0,0.1595,"list, python, dictionary, find, text, add, remove, number, elements, json","['python', 'requests', 'handling', 'json', 'response', 'storing', 'list', 'dict']"
1862,6.0,0.1338,"error, date, code, sql, set, selenium, html, format, import, flask","['java', 'reviving', 'class', 'row', 'called']"
1863,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['dataframe', 'plot', 'bar', 'show', 'foreign', 'language']"
1864,6.0,0.1759,"error, date, code, sql, set, selenium, html, format, import, flask","['value', 'error', 'format', 'match', 'converting', 'string', 'datime', 'date']"
1865,0.0,0.1466,"python, string, image, make, output, strings, replace, specific, print, split","['python', 'pandas', 'anti', 'join']"
1866,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['django', 'use', 'channels', 'mongdob', 'store', 'data']"
1867,2.0,0.1343,"python, file, csv, files, google, run, script, api, read, save","['macros', 'running', 'see', 'value', 'pulled', 'another', 'sheet']"
1868,2.0,0.1592,"python, file, csv, files, google, run, script, api, read, save","['python', 'conditionals', 'based', 'filters', 'csv', 'file']"
1869,3.0,0.1445,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['previous', 'business', 'dates', 'pandas']"
1870,2.0,0.1682,"python, file, csv, files, google, run, script, api, read, save","['bucket', 'sort', 'sentences', 'txt', 'file']"
1871,0.0,0.1399,"python, string, image, make, output, strings, replace, specific, print, split","['python', 'execute', 'bottom', 'lines', 'first', 'top', 'using']"
1872,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['impute', 'missing', 'values', 'mean', 'column', 'machine', 'learning']"
1873,5.0,0.1652,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['change', 'column', 'names', 'applying', 'one', 'hot', 'encoding']"
1874,7.0,0.1473,"function, multiple, array, numpy, create, object, class, return, query, attribute","['python', 'vector', 'apply', 'mean', 'across', 'axis', 'chunks', 'size']"
1875,5.0,0.1737,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'pandas', 'replace', 'string', 'column', 'based', 'value', 'column', 'dealing', 'substrings']"
1876,6.0,0.1798,"error, date, code, sql, set, selenium, html, format, import, flask","['unable', 'set', 'haxis', 'format', 'date', 'using', 'google', 'script']"
1877,3.0,0.1767,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['scale', 'range', 'ratio', 'values', 'start', 'rather', 'without', 'losing', 'statics', 'significance']"
1878,3.0,0.1652,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['indexerror', 'list', 'index', 'range', 'argument', 'supplied']"
1879,0.0,0.146,"python, string, image, make, output, strings, replace, specific, print, split","['timeout', 'decorator', 'windows', 'thread', 'continues']"
1880,7.0,0.1862,"function, multiple, array, numpy, create, object, class, return, query, attribute","['creating', 'function', 'iterates', 'dataframe', 'rows', 'applies', 'scipy', 'function', 'appends', 'output', 'new', 'column', 'outputs', 'modified', 'dataframe']"
1881,0.0,0.1343,"python, string, image, make, output, strings, replace, specific, print, split","['make', 'window', 'moveable', 'pyqt']"
1882,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['number', 'labels', 'match']"
1883,1.0,0.1634,"data, convert, model, django, table, tensorflow, keras, type, method, input","['python', 'error', 'typeerror', 'class', 'pandas', 'tslibs', 'timedeltas', 'timedelta', 'convertible', 'datetime']"
1884,5.0,0.183,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['efficient', 'way', 'check', 'several', 'conditions', 'columns', 'pandas', 'dataframe']"
1885,0.0,0.1584,"python, string, image, make, output, strings, replace, specific, print, split","['splitting', 'text', 'chunks', 'smaller', 'specific', 'size', 'newline']"
1886,6.0,0.1548,"error, date, code, sql, set, selenium, html, format, import, flask","['change', 'pip', 'version', 'mac']"
1887,0.0,0.146,"python, string, image, make, output, strings, replace, specific, print, split","['check', 'regex', 'result', 'none', 'conditional', 'statement']"
1888,5.0,0.1473,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pattern', 'matching', 'website', 'url', 'pandas', 'dataframe']"
1889,2.0,0.2045,"python, file, csv, files, google, run, script, api, read, save","['send', 'python', 'variable', 'curl', 'command', 'terminal', 'google', 'colaboratory', 'quotes', 'work', 'curl']"
1890,1.0,0.1447,"data, convert, model, django, table, tensorflow, keras, type, method, input","['optimizing', 'parsing', 'massive', 'python', 'dictionary', 'multi', 'threading']"
1891,1.0,0.1437,"data, convert, model, django, table, tensorflow, keras, type, method, input","['mean', 'outlier', 'detection']"
1892,2.0,0.1682,"python, file, csv, files, google, run, script, api, read, save","['large', 'csv', 'text', 'processing', 'linux']"
1893,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['handling', 'timestamps', 'networkx']"
1894,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['string', 'replacement', 'another', 'dataframe']"
1895,1.0,0.1368,"data, convert, model, django, table, tensorflow, keras, type, method, input","['filter', 'dataframe', 'using', 'isin']"
1896,3.0,0.1623,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['add', 'percentage', 'figures', 'top', 'bar', 'chart', 'python']"
1897,4.0,0.1652,"list, python, dictionary, find, text, add, remove, number, elements, json","['data', 'analysis', 'keyword', 'matching', 'list', 'column']"
1898,2.0,0.1473,"python, file, csv, files, google, run, script, api, read, save","['limit', 'query', 'time', 'client', 'side', 'postgresql']"
1899,2.0,0.1915,"python, file, csv, files, google, run, script, api, read, save","['run', 'multiple', 'functions', 'using', 'turtle', 'screen', 'onkey', 'python']"
1900,6.0,0.1662,"error, date, code, sql, set, selenium, html, format, import, flask","['service', 'use', 'deploying', 'flask', 'dash', 'application']"
1901,6.0,0.1844,"error, date, code, sql, set, selenium, html, format, import, flask","['browser', 'able', 'download', 'file', 'url', 'python', 'requests', 'pycurl', 'gets', 'connection', 'reset', 'error', 'fix']"
1902,2.0,0.146,"python, file, csv, files, google, run, script, api, read, save","['consolidate', 'different', 'alternative', 'names', 'countries', 'official', 'name']"
1903,0.0,0.15,"python, string, image, make, output, strings, replace, specific, print, split","['free', 'memory', 'allocation', 'cuda', 'pytorch']"
1904,6.0,0.1487,"error, date, code, sql, set, selenium, html, format, import, flask","['facebook', 'prophet', 'saturation', 'failling']"
1905,2.0,0.1533,"python, file, csv, files, google, run, script, api, read, save","['python', 'ftech', 'title', 'pdf', 'link', 'url']"
1906,6.0,0.1549,"error, date, code, sql, set, selenium, html, format, import, flask","['date', 'form', 'yyyy', 'mm', 'axis', 'line', 'plot', 'pandas', 'python']"
1907,1.0,0.1623,"data, convert, model, django, table, tensorflow, keras, type, method, input","['return', 'generated', 'html', 'file', 'django', 'rest', 'framework']"
1908,6.0,0.1494,"error, date, code, sql, set, selenium, html, format, import, flask","['install', 'python', 'rhel']"
1909,4.0,0.1507,"list, python, dictionary, find, text, add, remove, number, elements, json","['recover', 'bad', 'json', 'python']"
1910,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['panda', 'transpose', 'rows', 'column']"
1911,5.0,0.1525,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['moving', 'columns', 'values', 'one', 'csv', 'another', 'id', 'matches', 'pandas']"
1912,2.0,0.1803,"python, file, csv, files, google, run, script, api, read, save","['error', 'winerror', 'trying', 'delete', 'file', 'directory']"
1913,4.0,0.194,"list, python, dictionary, find, text, add, remove, number, elements, json","['writing', 'list', 'urls', 'cell', 'writing', 'pd', 'to_excel', 'list', 'urls', 'becomes', 'one', 'single', 'url', 'avoid']"
1914,2.0,0.1572,"python, file, csv, files, google, run, script, api, read, save","['read', 'url', 'save', 'seperate', 'pdf', 'python']"
1915,4.0,0.15,"list, python, dictionary, find, text, add, remove, number, elements, json","['detect', 'change', 'list', 'comprehension', 'dataframe']"
1916,0.0,0.1486,"python, string, image, make, output, strings, replace, specific, print, split","['publish', 'random', 'port', 'return', 'port', 'docker', 'py']"
1917,6.0,0.1528,"error, date, code, sql, set, selenium, html, format, import, flask","['get', 'difference', 'dates', 'different', 'iso', 'format']"
1918,7.0,0.1662,"function, multiple, array, numpy, create, object, class, return, query, attribute","['gets', 'printed', 'print', 'object', 'class', 'python']"
1919,3.0,0.1525,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['sorting', 'values', 'indices', 'size', 'losing', 'information', 'structure']"
1920,4.0,0.15,"list, python, dictionary, find, text, add, remove, number, elements, json","['aggregate', 'symmetric', 'pairs', 'exist', 'pandas']"
1921,2.0,0.1343,"python, file, csv, files, google, run, script, api, read, save","['facing', 'error', 'trying', 'get', 'csv', 'column']"
1922,4.0,0.1864,"list, python, dictionary, find, text, add, remove, number, elements, json","['modify', 'two', 'inter', 'related', 'lists', 'simultaneously']"
1923,5.0,0.161,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'filtering', 'multiple', 'conditions']"
1924,5.0,0.1702,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'transform', 'one', 'row', 'multiple', 'rows']"
1925,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['discrete', 'cosine', 'transform', 'dct', 'coefficient', 'distribution']"
1926,5.0,0.1487,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['count', 'occurrences', 'dictionary', 'loop']"
1927,5.0,0.1682,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'concatenating', 'two', 'columns', 'string', 'lists']"
1928,4.0,0.1623,"list, python, dictionary, find, text, add, remove, number, elements, json","['looping', 'list', 'row', 'keyword', 'match', 'pandas', 'dataframe']"
1929,4.0,0.15,"list, python, dictionary, find, text, add, remove, number, elements, json","['webscraping', 'combination', 'dropdown', 'extract', 'values']"
1930,6.0,0.1447,"error, date, code, sql, set, selenium, html, format, import, flask","['pyspark', 'deal', 'invalid', 'characters', 'writing', 'dataframe', 'parquet']"
1931,2.0,0.1672,"python, file, csv, files, google, run, script, api, read, save","['download', 'images', 'google', 'python']"
1932,4.0,0.15,"list, python, dictionary, find, text, add, remove, number, elements, json","['reactjs', 'silently', 'renew', 'token', 'iframe']"
