Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
161,4.0,0.1642,"list, python, dictionary, find, text, add, remove, number, elements, json","['match', 'combination', 'two', 'strings', 'python', 'find', 'indices', 'rows']"
162,4.0,0.1754,"list, python, dictionary, find, text, add, remove, number, elements, json","['regex', 'tokenize', 'sentences', 'python']"
163,2.0,0.1528,"python, file, csv, files, google, run, script, api, read, save","['import', 'jquery', 'chrome', 'extension']"
164,6.0,0.1528,"error, date, code, sql, set, selenium, html, format, import, flask","['stop', 'end', 'thread', 'start']"
165,7.0,0.1836,"function, multiple, array, numpy, create, object, class, return, query, attribute","['getting', 'str', 'object', 'attribute', 'astype']"
166,7.0,0.2052,"function, multiple, array, numpy, create, object, class, return, query, attribute","['difference', 'different', 'generators', 'yield', 'returning', 'tuple', 'iteration', 'function']"
167,7.0,0.1473,"function, multiple, array, numpy, create, object, class, return, query, attribute","['make', 'python', 'treat', 'sequences', 'indexed', 'instead', 'indexed']"
168,7.0,0.1473,"function, multiple, array, numpy, create, object, class, return, query, attribute","['check', 'object', 'casted', 'child', 'parent', 'object']"
169,6.0,0.1447,"error, date, code, sql, set, selenium, html, format, import, flask","['unexpectedly', 'low', 'error', 'numerical', 'integrator', 'certain', 'equations', 'motion']"
170,6.0,0.1682,"error, date, code, sql, set, selenium, html, format, import, flask","['get', 'ip', 'adress', 'use', 'docker', 'container', 'network']"
171,7.0,0.15,"function, multiple, array, numpy, create, object, class, return, query, attribute","['aws', 'lambda', 'execution', 'result', 'failed']"
172,2.0,0.183,"python, file, csv, files, google, run, script, api, read, save","['scrapyd', 'save', 'items', 'individual', 'files', 'folders']"
173,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['tf', 'function', 'create', 'graph', 'functions', 'called', 'well']"
174,1.0,0.183,"data, convert, model, django, table, tensorflow, keras, type, method, input","['filter', 'tweet', 'verified', 'accounts', 'extracting', 'using', 'tweepy']"
175,4.0,0.1447,"list, python, dictionary, find, text, add, remove, number, elements, json","['override', 'parent', 'css', 'settings', 'using', 'child', 'gives', 'unknown', 'property', 'name']"
176,1.0,0.1652,"data, convert, model, django, table, tensorflow, keras, type, method, input","['prepare', 'tokenized', 'words', 'predicting', 'next', 'character', 'tensorflow']"
177,6.0,0.1621,"error, date, code, sql, set, selenium, html, format, import, flask","['scrapyd', 'logfile', 'ubuntu', 'installing', 'via', 'pip']"
